YQTTS;towneplace-suites-thunder-bay
SHAIP;four-points-shanghai-international-tourism-and-resorts-zone
ISKFH;the-fern-heaven-on-the-hills-hatgad-saputara-series-
VERDE;delta-hotels-riviera-veracruz
PDXNF;fairfield-inn-and-suites-portland-newberg
SINTX;varel-singapore-a-tribute-portfolio-hotel
LASFN;fairfield-inn-and-suites-las-vegas-north
CUNFP;four-points-cancun-centro
YEGBR;renaissance-edmonton-airport-hotel
BERAK;roomers-berlin-steinplatz-autograph-collection
MANWP;delta-hotels-worsley-park-country-club
GOAGE;ac-hotel-genova
DALDN;towneplace-suites-denton
HHHVI;marriotts-grande-ocean
LRUCY;courtyard-by-marriott-las-cruces-at-nmsu
NYCMM;renaissance-new-york-chelsea-hotel
KULEH;else-kuala-lumpur-a-member-of-design-hotels
MILDS;c-hotel-and-spa-cassago-brianza-a-member-of-design-hotels
YXECY;courtyard-saskatoon-airport
MILCB;casa-brera-a-luxury-collection-hotel-milan
RMQTL;aloft-taichung
DOHEL;element-west-bay-doha
ACHSZ;seegut-zeppelin-a-member-of-design-hotels
RIOSI;sheraton-grand-rio-hotel-and-resort
PVDST;towneplace-suites-seekonk
YHZRD;residence-inn-halifax-dartmouth
HYNLU;four-points-linhai
SAPAL;aloft-san-pedro-sula
NCEHJ;yelo-jean-medecin-hotel-sonder
GRXPA;hotel-palacio-de-santa-paula-autograph-collection
MCOBN;courtyard-orlando-lake-buena-vista-at-vista-centre
YYZSB;delta-hotels-toronto-east
SKBRB;st-kitts-marriott-resort-and-the-royal-beach-casino
GNEMC;ghent-marriott-hotel
BOSFP;residence-inn-boston-downtown-seaport
GDLPE;city-express-plus-guadalajara-expo
YULFD;fairfield-montreal-downtown
YYCBV;delta-hotels-calgary-downtown
PVRDE;delta-hotels-riviera-nayarit-an-all-inclusive-resort
MCOCH;courtyard-orlando-airport
SXBAR;ac-hotel-strasbourg
MEXLC;las-alcobas-a-luxury-collection-hotel-mexico-city
LSQFP;four-points-by-sheraton-los-angeles
JMKLC;santa-marina-a-luxury-collection-resort-mykonos
SRQRS;studiores-sarasota
YYZWI;the-westin-harbour-castle-toronto
PWMXT;moxy-portland-thompsons-point
PHXDF;fairfield-inn-and-suites-scottsdale-old-town
YYZFV;four-points-vaughan
LONEU;four-points-flex-london-euston
BOBXR;the-st-regis-bora-bora-resort
VPSDT;towneplace-suites-miramar-beach-destin
MUCRP;four-points-regensburg
NKGYF;fairfield-nanjing-yuhuatai
COSTF;towneplace-suites-colorado-springs-i-25-south
YQRFP;four-points-regina
DUBDT;the-shelbourne-autograph-collection
SANCM;courtyard-san-diego-mission-valley-hotel-circle
TBSKR;rooms-kazbegi-a-member-of-design-hotels
YOWFI;fairfield-inn-and-suites-ottawa-kanata
PHXOE;residence-inn-phoenix-southeast
CHIRL;residence-inn-chicago-downtown-loop
CHINO;the-westin-chicago-river-north
DXBMS;le-meridien-mina-seyahi-beach-resort-and-waterpark
SATAP;residence-inn-san-antonio-airport-alamo-heights
TMCCK;cap-karoso-a-member-of-design-hotels
CLETM;towneplace-suites-painesville-mentor
CPHRF;four-points-flex-roskilde
TBSOX;moxy-tbilisi
YULMA;montreal-airport-marriott-in-terminal-hotel
FJRMD;le-meridien-al-aqah-beach-resort
WNZGN;grand-new-century-hotel-wenzhou-a-tribute-portfolio-hotel
BHXJQ;four-points-flex-birmingham-jewellery-quarter
BOSSF;fairfield-inn-and-suites-stoughton
LAXMP;courtyard-los-angeles-monterey-park
UBJSN;soil-nagatoyumoto-a-member-of-design-hotels
DALMN;ac-hotel-mckinney
YYJFP;four-points-victoria-gateway
FLRCC;chapter-chianti-a-member-of-design-hotels
EMLBR;renaissance-lucerne-hotel
SHAXX;moxy-shanghai-putuo
OPOGT;origine-porto-gaia-a-tribute-portfolio-hotel
ELPSE;springhill-suites-el-paso
AYTCF;four-points-flex-antalya-lara
YULAL;aloft-montreal-airport
MTYXT;city-express-monterrey-lindavista
KULOX;moxy-putrajaya
DPSBB;the-bohemian-bali-a-member-of-design-hotels
YYZDL;delta-hotels-toronto
MIAXR;the-st-regis-bal-harbour-resort
BCNTX;labtwentytwo-barcelona-a-tribute-portfolio-hotel
MUCMR;residence-inn-munich-ostbahnhof
HAJGN;freigeist-gottingen-nordstadt-a-member-of-design-hotels
TLCXT;city-express-toluca
YEGWO;towneplace-suites-edmonton-sherwood-park
BOGPO;city-express-plus-bogota-aeropuerto
WUXSS;sheraton-suzhou-yangcheng-lake
CTUHT;chengdu-marriott-hotel-high-tech-zone-west
HOUCN;courtyard-houston-nw-290-corridor
BCNVP;four-points-barcelona-airport
PMIXR;the-st-regis-mardavall-mallorca-resort
VICVI;ac-hotel-vicenza
FNTAH;hotel-auburn-hills
MADTO;ac-hotel-ciudad-de-toledo
OAXCO;city-centro-oaxaca
BRSDE;delta-hotels-bristol-city-centre
CWLSU;four-points-flex-cardiff
RICTX;the-publisher-downtown-fredericksburg-a-tribute-portfolio-hotel
CDCBH;springhill-suites-bryce-canyon
DPSUW;renaissance-bali-uluwatu-resort-and-spa
DUSCY;courtyard-duesseldorf-seestern
DPSXR;the-st-regis-bali-resort
ROMWI;the-westin-excelsior-rome
HOUAC;ac-hotel-houston-downtown
GSODX;city-express-danville
MRSDA;domaine-des-andeols-a-member-of-design-hotels
YYZCC;toronto-marriott-city-centre-hotel
LPAGR;ac-hotel-gran-canaria
YULDT;courtyard-montreal-downtown
WUXSK;ac-hotel-suzhou-industrial-park
CKGNU;four-points-chongqing-north-railway-station
NGBCH;courtyard-ningbo-hangzhou-bay
EGEAK;beaver-creek-lodge-autograph-collection
MTTXT;city-express-minatitlan
MGMMT;towneplace-suites-millbrook-prattville
CKGDS;sheraton-chongqing-west
CUZMC;jw-marriott-el-convento-cusco
CAIMD;le-meridien-pyramids-hotel-and-spa
INDWF;fairfield-inn-and-suites-whitestown-indianapolis-nw
LASBR;renaissance-las-vegas-hotel
JMKRM;rocabella-mykonos-hotel-a-member-of-design-hotels
SVQTX;los-seises-sevilla-a-tribute-portfolio-hotel
NGOXF;four-points-flex-nagoya-station
SLPAC;ac-hotel-san-luis-potosi
HFEPF;four-points-hefei-feidong
YHZCY;courtyard-halifax-downtown
YOWMC;ottawa-marriott-hotel
OSASS;sugata-hotel-osaka-shinsaibashi-series
YVRWI;the-westin-bayshore-vancouver
MUCSB;arabella-alpenhotel-am-spitzingsee-a-tribute-portfolio-hotel
LAXRR;renaissance-los-angeles-airport-hotel
CXRJW;jw-marriott-cam-ranh-bay-resort-and-spa
BDAXR;the-st-regis-bermuda-resort
HAMFO;moxy-hamburg-finkenwerder
RUHOW;rosh-olaya
HOUGW;the-westin-galleria-houston
PTYAL;aloft-panama
LIREL;el-mangroove-autograph-collection
GVAMB;hotel-borsari-a-member-of-design-hotels
EDIHW;courtyard-edinburgh-west
MSNFS;fairfield-inn-and-suites-madison-south
HKGWH;w-hong-kong
TZXRI;residence-inn-trabzon
CHIBH;the-wade
LCGCO;ac-hotel-a-coruna
YYCCS;courtyard-calgary-south
